TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
116BRJ2050_2;23601;23800;24318;25045;26012;27027;28020;28823;29684;30507;30998;31522;32008;32843;33627;34426;35229;36039;36859;37691;38534;39388;40254;41131;42018;42915;43822;44738;45663;46596;47535;48481;49433;50390;51352;52317
116BRJ2050_2;23601;23800;24318;25045;26012;27027;28020;28823;29684;30507;30998;31522;32008;32843;33627;34426;35229;36039;36859;37691;38534;39388;40254;41131;42018;42915;43822;44738;45663;46596;47535;48481;49433;50390;51352;52317
116BRJ2050_2;23601;23800;24318;25045;26012;27027;28020;28823;29684;30507;30998;31522;32008;32843;33627;34426;35229;36039;36859;37691;38534;39388;40254;41131;42018;42915;43822;44738;45663;46596;47535;48481;49433;50390;51352;52317
116BRJ2050_1;37232;37543;38352;39383;40511;41680;42772;43848;44972;46160;46970;47798;48598;49788;50964;52156;53359;54570;55796;57039;58299;59576;60870;62179;63504;64844;66198;67565;68945;70336;71738;73149;74567;75994;77426;78864
116BRJ2070;37210;37521;38329;39407;40548;41729;42776;43836;44935;46121;46958;47824;48638;49825;51004;52202;53410;54626;55853;57098;58360;59638;60933;62245;63571;64913;66268;67637;69019;70412;71815;73228;74648;76077;77511;78951
116BRJ2070;37200;37511;38319;39403;40557;41750;42804;43861;44963;46148;46976;47832;48636;49827;51008;52206;53414;54630;55858;57103;58364;59643;60938;62249;63576;64918;66274;67643;69024;70417;71821;73233;74654;76082;77517;78956
116BRJ2090;37200;37511;38319;39403;40557;41750;42804;43861;44963;46148;46976;47832;48636;49827;51008;52206;53414;54630;55858;57103;58364;59643;60938;62249;63576;64918;66274;67643;69024;70417;71821;73233;74654;76082;77517;78956
116BRJ2110;33051;33327;34046;35038;36102;37203;38149;39093;40078;41141;41852;42590;43275;44336;45388;46459;47539;48623;49716;50824;51948;53087;54240;55408;56589;57784;58991;60211;61441;62681;63931;65189;66455;67727;69004;70287
116BRJ2110;33030;33306;34024;35065;36191;37360;38327;39286;40278;41336;42061;42816;43537;44611;45681;46760;47849;48937;50038;51154;52286;53432;54593;55769;56958;58161;59377;60604;61843;63092;64351;65617;66891;68172;69459;70750
116BRJ2130;40334;40671;41549;42775;44090;45452;46615;47774;48970;50236;51172;52144;53083;54381;55678;56988;58311;59638;60981;62343;63723;65122;66539;67974;69426;70894;72378;73876;75388;76912;78448;79995;81550;83113;84684;86260
116BRJ2150;40575;40913;41792;43030;44375;45768;46952;48106;49293;50547;51500;52495;53459;54758;56045;57343;58653;59976;61320;62683;64064;65464;66882;68317;69769;71238;72722;74220;75732;77256;78792;80338;81892;83455;85025;86600
116BRJ2150;40575;40913;41792;43030;44375;45768;46952;48106;49293;50547;51500;52495;53459;54758;56045;57343;58653;59976;61320;62683;64064;65464;66882;68317;69769;71238;72722;74220;75732;77256;78792;80338;81892;83455;85025;86600
116BRJ2170;40575;40913;41792;43030;44375;45768;46952;48106;49293;50547;51500;52495;53459;54758;56045;57343;58653;59976;61320;62683;64064;65464;66882;68317;69769;71238;72722;74220;75732;77256;78792;80338;81892;83455;85025;86600
116BRJ2190;25735;25954;26527;27415;28416;29462;30288;31061;31853;32699;33252;33845;34405;35283;36140;37002;37869;38745;39636;40540;41456;42385;43326;44280;45245;46221;47208;48205;49212;50228;51251;52282;53319;54362;55410;56462
116BRJ2190;25735;25954;26527;27415;28416;29462;30288;31061;31853;32699;33252;33845;34405;35283;36140;37002;37869;38745;39636;40540;41456;42385;43326;44280;45245;46221;47208;48205;49212;50228;51251;52282;53319;54362;55410;56462
116BRJ2190;25735;25954;26527;27415;28416;29462;30288;31061;31853;32699;33252;33845;34405;35283;36140;37002;37869;38745;39636;40540;41456;42385;43326;44280;45245;46221;47208;48205;49212;50228;51251;52282;53319;54362;55410;56462
116BRJ2210;25311;25528;26092;26959;27923;28931;29740;30512;31307;32146;32673;33237;33761;34622;35456;36299;37147;38010;38886;39775;40675;41589;42514;43451;44400;45360;46331;47311;48301;49299;50306;51319;52339;53365;54395;55430
116BSP2230;25311;25528;26092;26959;27923;28931;29740;30512;31307;32146;32673;33237;33761;34622;35456;36299;37147;38010;38886;39775;40675;41589;42514;43451;44400;45360;46331;47311;48301;49299;50306;51319;52339;53365;54395;55430
116BSP2243;25311;25528;26092;26959;27923;28931;29740;30512;31307;32146;32673;33237;33761;34622;35456;36299;37147;38010;38886;39775;40675;41589;42514;43451;44400;45360;46331;47311;48301;49299;50306;51319;52339;53365;54395;55430
116BSP2250;27452;27686;28296;29206;30241;31328;32229;33039;33871;34749;35345;35973;36567;37498;38402;39311;40225;41154;42100;43058;44031;45016;46015;47026;48050;49086;50133;51190;52258;53335;54421;55514;56614;57720;58831;59947
116BSP2255;27452;27686;28296;29206;30241;31328;32229;33039;33871;34749;35345;35973;36567;37498;38402;39311;40225;41154;42100;43058;44031;45016;46015;47026;48050;49086;50133;51190;52258;53335;54421;55514;56614;57720;58831;59947
116BSP2265;26567;26794;27385;28275;29284;30346;31221;32010;32819;33673;34243;34845;35410;36312;37189;38074;38963;39867;40785;41716;42660;43617;44587;45569;46563;47569;48586;49613;50650;51697;52751;53813;54882;55956;57036;58120
116BSP2265;26567;26794;27385;28275;29284;30346;31221;32010;32819;33673;34243;34845;35410;36312;37189;38074;38963;39867;40785;41716;42660;43617;44587;45569;46563;47569;48586;49613;50650;51697;52751;53813;54882;55956;57036;58120
116BSP2270;26202;26425;27006;27887;28866;29885;30705;31477;32286;33145;33718;34314;34883;35772;36645;37519;38399;39286;40187;41101;42027;42966;43917;44880;45856;46842;47839;48847;49864;50890;51923;52964;54012;55065;56123;57186
116BSP2290;26202;26425;27006;27887;28866;29885;30705;31477;32286;33145;33718;34314;34883;35772;36645;37519;38399;39286;40187;41101;42027;42966;43917;44880;45856;46842;47839;48847;49864;50890;51923;52964;54012;55065;56123;57186
116BSP2310;26498;26723;27309;28195;29182;30208;31037;31816;32630;33496;34075;34679;35254;36150;37030;37912;38799;39694;40603;41524;42458;43405;44365;45336;46320;47315;48320;49336;50362;51396;52438;53488;54544;55606;56673;57744
116BSP2330;39585;39911;40758;41958;43256;44602;45742;46855;48012;49225;50138;51078;51989;53238;54476;55727;56989;58263;59554;60862;62187;63530;64890;66267;67659;69067;70489;71924;73372;74832;76302;77782;79270;80765;82266;83773
116BSP2340;40592;40927;41797;43034;44357;45723;46876;48033;49225;50471;51416;52406;53356;54630;55890;57177;58474;59785;61112;62457;63820;65201;66599;68015;69446;70894;72356;73833;75322;76824;78336;79858;81388;82926;84471;86021
116BSP2345;41913;42260;43162;44490;45892;47340;48520;49724;50959;52251;53267;54340;55396;56747;58085;59428;60781;62148;63532;64936;66358;67799;69259;70736;72231;73742;75268;76810;78365;79933;81512;83101;84700;86306;87920;89538
116BSP2350;41960;42308;43211;44535;45927;47363;48536;49741;50983;52282;53300;54365;55414;56765;58104;59447;60801;62168;63553;64957;66380;67821;69281;70759;72254;73765;75292;76834;78390;79958;81538;83128;84727;86333;87947;89567
116BSP2360_2;35999;36299;37079;38449;39941;41493;42582;43664;44778;45948;46714;47523;48365;49616;50857;52042;53236;54441;55662;56899;58154;59424;60712;62015;63333;64666;66013;67374;68746;70130;71524;72928;74339;75758;77182;78612
116BSP2360_1;31900;32167;32861;34412;36076;37822;38788;39808;40853;41959;42557;43205;43954;45189;46415;47502;48597;49702;50820;51954;53103;54268;55448;56642;57851;59073;60308;61555;62814;64083;65361;66648;67943;69244;70551;71863
116BSP2360_1;31900;32167;32861;34412;36076;37822;38788;39808;40853;41959;42557;43205;43954;45189;46415;47502;48597;49702;50820;51954;53103;54268;55448;56642;57851;59073;60308;61555;62814;64083;65361;66648;67943;69244;70551;71863
116BSP2360_1;31900;32167;32861;34412;36076;37822;38788;39808;40853;41959;42557;43205;43954;45189;46415;47502;48597;49702;50820;51954;53103;54268;55448;56642;57851;59073;60308;61555;62814;64083;65361;66648;67943;69244;70551;71863
116BSP2360_1;31900;32167;32861;34412;36076;37822;38788;39808;40853;41959;42557;43205;43954;45189;46415;47502;48597;49702;50820;51954;53103;54268;55448;56642;57851;59073;60308;61555;62814;64083;65361;66648;67943;69244;70551;71863
